--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 14:30:13 2024
--------------------------------------------------------------------------------
Error: Exception occurred (schedulefun.<locals>.job_func() takes 0 positional arguments but 1 was given){'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 4992, 'name': 'conhost.exe'}
{'username': None, 'pid': 5012, 'name': 'spoolsv.exe'}
{'username': None, 'pid': 5048, 'name': 'svchost.exe'}
{'username': None, 'pid': 5152, 'name': 'svchost.exe'}
{'username': None, 'pid': 5288, 'name': 'svchost.exe'}
{'username': None, 'pid': 5388, 'name': 'svchost.exe'}
{'username': None, 'pid': 5456, 'name': 'svchost.exe'}
{'username': None, 'pid': 5464, 'name': 'SECOMN64.exe'}
{'username': None, 'pid': 5472, 'name': 'svchost.exe'}
{'username': None, 'pid': 5484, 'name': 'svchost.exe'}
{'username': None, 'pid': 5492, 'name': 'svchost.exe'}
{'username': None, 'pid': 5508, 'name': 'svchost.exe'}
{'username': None, 'pid': 5528, 'name': 'MsMpEng.exe'}
{'username': None, 'pid': 5540, 'name': 'mongod.exe'}
{'username': None, 'pid': 5548, 'name': 'OfficeClickToRun.exe'}
{'username': None, 'pid': 5564, 'name': 'MpDefenderCoreService.exe'}
{'username': None, 'pid': 5580, 'name': 'svchost.exe'}
{'username': None, 'pid': 5604, 'name': 'svchost.exe'}
{'username': None, 'pid': 5636, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 5700, 'name': 'SearchHost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 5704, 'name': 'OverlayHelper.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 5720, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 5788, 'name': 'svchost.exe'}
{'username': None, 'pid': 5888, 'name': 'omtsreco.exe'}
{'username': None, 'pid': 6016, 'name': 'svchost.exe'}
{'username': None, 'pid': 6024, 'name': 'oracle.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 6136, 'name': 'msedge.exe'}
{'username': None, 'pid': 6172, 'name': 'svchost.exe'}
{'username': None, 'pid': 6256, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 6316, 'name': 'SystemSettings.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 6476, 'name': 'dllhost.exe'}
{'username': None, 'pid': 6516, 'name': 'svchost.exe'}
{'username': None, 'pid': 6572, 'name': 'svchost.exe'}
{'username': None, 'pid': 6652, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 6736, 'name': 'msedge.exe'}
{'username': None, 'pid': 6828, 'name': 'svchost.exe'}
{'username': None, 'pid': 6904, 'name': 'WmiPrvSE.exe'}
{'username': None, 'pid': 7040, 'name': 'AggregatorHost.exe'}
{'username': None, 'pid': 7108, 'name': 'unsecapp.exe'}
{'username': None, 'pid': 7132, 'name': 'svchost.exe'}
{'username': None, 'pid': 7260, 'name': 'NisSrv.exe'}
{'username': None, 'pid': 7492, 'name': 'svchost.exe'}
{'username': None, 'pid': 7500, 'name': 'SearchIndexer.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 7584, 'name': 'RuntimeBroker.exe'}
{'username': None, 'pid': 7764, 'name': 'svchost.exe'}
{'username': None, 'pid': 7836, 'name': 'dwm.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 7896, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 7964, 'name': 'RuntimeBroker.exe'}
{'username': None, 'pid': 8200, 'name': 'winlogon.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 8444, 'name': 'svchost.exe'}
{'username': None, 'pid': 8468, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 8776, 'name': 'powershell.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 8796, 'name': 'HPAudioSwitch.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 8848, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 8924, 'name': 'WindowsTerminal.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 9164, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 9552, 'name': 'RuntimeBroker.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 9556, 'name': 'conhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 9596, 'name': 'OmenInstallMonitor.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 10272, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 10340, 'name': 'AdobeIPCBroker.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 10428, 'name': 'PAD.Console.Host.exe'}
{'username': None, 'pid': 10504, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 10564, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 10688, 'name': 'UserOOBEBroker.exe'}
{'username': None, 'pid': 10788, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 10900, 'name': 'svchost.exe'}
