--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 13:40:24 2024
--------------------------------------------------------------------------------
log created at EveryMinutes{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
{'username': None, 'name': 'svchost.exe', 'pid': 5456}
{'username': None, 'name': 'SECOMN64.exe', 'pid': 5464}
{'username': None, 'name': 'svchost.exe', 'pid': 5472}
{'username': None, 'name': 'svchost.exe', 'pid': 5484}
{'username': None, 'name': 'svchost.exe', 'pid': 5492}
{'username': None, 'name': 'svchost.exe', 'pid': 5508}
{'username': None, 'name': 'MsMpEng.exe', 'pid': 5528}
{'username': None, 'name': 'mongod.exe', 'pid': 5540}
{'username': None, 'name': 'OfficeClickToRun.exe', 'pid': 5548}
{'username': None, 'name': 'MpDefenderCoreService.exe', 'pid': 5564}
{'username': None, 'name': 'svchost.exe', 'pid': 5580}
{'username': None, 'name': 'svchost.exe', 'pid': 5604}
{'username': None, 'name': 'svchost.exe', 'pid': 5636}
{'username': 'LAPTOP\\NAVNATH', 'name': 'SearchHost.exe', 'pid': 5700}
{'username': 'LAPTOP\\NAVNATH', 'name': 'OverlayHelper.exe', 'pid': 5704}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 5788}
{'username': None, 'name': 'omtsreco.exe', 'pid': 5888}
{'username': None, 'name': 'svchost.exe', 'pid': 6016}
{'username': None, 'name': 'oracle.exe', 'pid': 6024}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 6136}
{'username': None, 'name': 'svchost.exe', 'pid': 6172}
{'username': None, 'name': 'svchost.exe', 'pid': 6256}
{'username': 'LAPTOP\\NAVNATH', 'name': 'SystemSettings.exe', 'pid': 6316}
{'username': 'LAPTOP\\NAVNATH', 'name': 'dllhost.exe', 'pid': 6476}
{'username': None, 'name': 'svchost.exe', 'pid': 6516}
{'username': None, 'name': 'svchost.exe', 'pid': 6572}
{'username': None, 'name': 'svchost.exe', 'pid': 6652}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 6736}
{'username': None, 'name': 'svchost.exe', 'pid': 6828}
{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 6904}
{'username': None, 'name': 'AggregatorHost.exe', 'pid': 7040}
{'username': None, 'name': 'unsecapp.exe', 'pid': 7108}
{'username': None, 'name': 'svchost.exe', 'pid': 7132}
{'username': None, 'name': 'NisSrv.exe', 'pid': 7260}
{'username': None, 'name': 'svchost.exe', 'pid': 7492}
{'username': None, 'name': 'SearchIndexer.exe', 'pid': 7500}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 7584}
{'username': None, 'name': 'svchost.exe', 'pid': 7764}
{'username': None, 'name': 'dwm.exe', 'pid': 7836}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 7896}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 7964}
{'username': None, 'name': 'winlogon.exe', 'pid': 8200}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 8444}
{'username': None, 'name': 'svchost.exe', 'pid': 8468}
{'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe', 'pid': 8776}
{'username': 'LAPTOP\\NAVNATH', 'name': 'HPAudioSwitch.exe', 'pid': 8796}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 8848}
{'username': 'LAPTOP\\NAVNATH', 'name': 'WindowsTerminal.exe', 'pid': 8924}
{'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe', 'pid': 9552}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 9556}
{'username': 'LAPTOP\\NAVNATH', 'name': 'OmenInstallMonitor.exe', 'pid': 9596}
{'username': 'LAPTOP\\NAVNATH', 'name': 'py.exe', 'pid': 9636}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 10272}
{'username': 'LAPTOP\\NAVNATH', 'name': 'AdobeIPCBroker.exe', 'pid': 10340}
{'username': 'LAPTOP\\NAVNATH', 'name': 'PAD.Console.Host.exe', 'pid': 10428}
{'username': None, 'name': 'svchost.exe', 'pid': 10504}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 10564}
{'username': 'LAPTOP\\NAVNATH', 'name': 'UserOOBEBroker.exe', 'pid': 10688}
{'username': None, 'name': 'svchost.exe', 'pid': 10788}
{'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe', 'pid': 10900}
{'username': 'LAPTOP\\NAVNATH', 'name': 'LockApp.exe', 'pid': 10972}
{'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe', 'pid': 11176}
{'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe', 'pid': 11188}
{'username': 'LAPTOP\\NAVNATH', 'name': 'CCXProcess.exe', 'pid': 11212}
{'username': None, 'name': 'SecurityHealthService.exe', 'pid': 11348}
{'username': None, 'name': 'svchost.exe', 'pid': 11360}
{'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe', 'pid': 12500}
{'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe', 'pid': 12528}
{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 12620}
