--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 00:11:47 2024
--------------------------------------------------------------------------------
create logs..{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 6600, 'username': 'LAPTOP\\NAVNATH', 'name': 'OmenCommandCenterBackground.exe'}
{'pid': 6652, 'username': None, 'name': 'svchost.exe'}
{'pid': 6664, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 6828, 'username': None, 'name': 'svchost.exe'}
{'pid': 6904, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 6976, 'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe'}
{'pid': 7040, 'username': None, 'name': 'AggregatorHost.exe'}
{'pid': 7108, 'username': None, 'name': 'unsecapp.exe'}
{'pid': 7132, 'username': None, 'name': 'svchost.exe'}
{'pid': 7204, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 7260, 'username': None, 'name': 'NisSrv.exe'}
{'pid': 7288, 'username': 'LAPTOP\\NAVNATH', 'name': 'dllhost.exe'}
{'pid': 7380, 'username': None, 'name': 'NVDisplay.Container.exe'}
{'pid': 7424, 'username': 'LAPTOP\\NAVNATH', 'name': 'Code.exe'}
{'pid': 7492, 'username': None, 'name': 'svchost.exe'}
{'pid': 7500, 'username': None, 'name': 'SearchIndexer.exe'}
{'pid': 7764, 'username': None, 'name': 'svchost.exe'}
{'pid': 7924, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 8232, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 8332, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 8392, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 8452, 'username': None, 'name': 'svchost.exe'}
{'pid': 8468, 'username': None, 'name': 'svchost.exe'}
{'pid': 8500, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 8792, 'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe'}
{'pid': 9024, 'username': 'LAPTOP\\NAVNATH', 'name': 'powershell.exe'}
{'pid': 9064, 'username': None, 'name': 'svchost.exe'}
{'pid': 9112, 'username': 'LAPTOP\\NAVNATH', 'name': 'SDXHelper.exe'}
{'pid': 9184, 'username': 'LAPTOP\\NAVNATH', 'name': 'SystemSettings.exe'}
{'pid': 9228, 'username': 'LAPTOP\\NAVNATH', 'name': 'HPSystemEventUtilityHost.exe'}
{'pid': 9420, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 9424, 'username': 'LAPTOP\\NAVNATH', 'name': 'WidgetService.exe'}
{'pid': 9904, 'username': None, 'name': 'winlogon.exe'}
{'pid': 10368, 'username': 'LAPTOP\\NAVNATH', 'name': 'conhost.exe'}
{'pid': 10504, 'username': None, 'name': 'svchost.exe'}
{'pid': 10648, 'username': 'LAPTOP\\NAVNATH', 'name': 'node.exe'}
{'pid': 10788, 'username': None, 'name': 'svchost.exe'}
{'pid': 10792, 'username': 'LAPTOP\\NAVNATH', 'name': 'StartMenuExperienceHost.exe'}
{'pid': 10808, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 11140, 'username': None, 'name': 'svchost.exe'}
{'pid': 11348, 'username': None, 'name': 'SecurityHealthService.exe'}
{'pid': 11360, 'username': None, 'name': 'svchost.exe'}
{'pid': 11408, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 11540, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
{'pid': 11656, 'username': 'LAPTOP\\NAVNATH', 'name': 'svchost.exe'}
{'pid': 12048, 'username': 'LAPTOP\\NAVNATH', 'name': 'python.exe'}
{'pid': 12144, 'username': 'LAPTOP\\NAVNATH', 'name': 'RuntimeBroker.exe'}
{'pid': 12212, 'username': 'LAPTOP\\NAVNATH', 'name': 'msedge.exe'}
{'pid': 12352, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 12748, 'username': 'LAPTOP\\NAVNATH', 'name': 'BridgeCommunication.exe'}
{'pid': 12968, 'username': 'LAPTOP\\NAVNATH', 'name': 'dllhost.exe'}
{'pid': 13032, 'username': 'LAPTOP\\NAVNATH', 'name': 'HPAudioSwitch.exe'}
{'pid': 13060, 'username': 'LAPTOP\\NAVNATH', 'name': 'brave.exe'}
